Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,"Fee Multiplier",cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
"=""816751022488""","COCKTAIL 1",1,1599,n,n,"CUTWATER PINA COLADA 26 CAN 6/4P 12Z",,,n,4,1,970,n,,"=""0""",,,,,,n,,,,,,,
"=""816751022556""","COCKTAIL 1",1,449,n,n,"CUTWATER VODKA TRANSFUSIAN","12 OZ",,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751022563""","COCKTAIL 1",1,1538,n,n,"CUTWATER VOD TRANSFUSION14CAN6/4P 12Z",,,n,1,1,1000,n,,"=""23""",,,,,,n,,,,,,,
"=""816751022785""","COCKTAIL 1",1,457,n,n,"CUTWATER PINEAPP;E MARGARITA","12 OZ",,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751022792""","COCKTAIL 1",1,1599,n,n,"CUTWATER MARGARITA PINEAPPLE 4-PK 12 OZ","4 PK 12 OZ",,n,4,1,950,n,,"=""22""",,,,,,n,,,,,,,
"=""816751023720""","COCKTAIL 1",1,457,n,n,"CUTWATER ESPRESSO MARTINI",,,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751023737""","COCKTAIL 1",1,1599,n,n,"CUTWATER ESPRESSO MARTINI 4 PK 12 OZ","4 PK 12 OZ",,n,4,1,950,n,,"=""24""",,,,,,n,,,,,,,
"=""816751023782""","COCKTAIL 1",1,457,n,n,"CUT EATER SPIRITS LIME MARGARITA","12 oz",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751023799""","COCKTAIL 1",1,1699,n,n,"CUTWATER LEMON DROP MARTINI 4 PK 12 OZ","4 PK 12 OZ",,n,4,1,950,n,,"=""0""",,,,,,n,,,,,,,
"=""816751023874""","COCKTAIL 1",1,457,n,n,"CUT WATER TIKI RUM HARRICANE",,,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751023881""","COCKTAIL 1",1,1599,n,n,"CUTWATER TIKI RUM  HURRICANE 4-PK","4 PK 12 OZ",,n,4,1,950,n,,"=""0""",,,,,,n,,,,,,,
"=""816751023911""","COCKTAIL 1",1,457,n,n,"cutwater whiskey sour","12 OZ",,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751023928""","COCKTAIL 1",1,1599,n,n,"CUTWATER sbicy blood mary 16 CAN 6/4P 12Z",,,n,4,1,970,n,,"=""0""",,,,,,n,,,,,,,
"=""816751023959""","COCKTAIL 1",1,457,n,n,"CUTWATER PEPPERMINT WHITE RUSSIAN",,,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751023966""","COCKTAIL 1",1,1599,n,n,"CUTWATER WHITE RUSSIAN  PEPPERMINT 4PK 12 OZ","4 PK 12 OZ",,n,1,1,950,n,,"=""0""",,,,,,n,,,,,,,
"=""816751024161""","COCKTAIL 1",1,2799,n,n,"CUT WATER","12 PL",,n,12,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751024215""","COCKTAIL 1",1,457,n,n,"CUTWATER GIN COLLINS","12 OZ",,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751024239""","COCKTAIL 1",1,1599,n,n,"CUTWATER GIN COLLINS 4 PK 12 OZ","4 PK 12 OZ",,n,4,1,950,n,,"=""0""",,,,,,n,,,,,,,
"=""816751024277""","COCKTAIL 1",1,457,n,n,"CUTWATER SPICY MANGO MARGARITA","12 OZ",,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751024284""","COCKTAIL 1",1,1599,n,n,"CUTWATER MARGARITA MANGO SPICY 4 PK 12 OZ","4 PK 12 OZ",,n,4,1,950,n,,"=""0""",,,,,,n,,,,,,,
"=""816751024420""","COCKTAIL 1",1,399,n,n,"CUTWATER LONG ISLAND ICED TEA",,,n,1,1,180,n,,"=""0""",,,,,,n,,,,,,,
"=""816751024512""","COCKTAIL 1",1,457,n,n,"CUTWATER  CHOCOLATE ESPRESSO MARTINI",,,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""816751024529""","COCKTAIL 1",1,1499,n,n,Cutwater,,,n,4,1,0,n,,"=""24""",,,,,,n,,,,,,,
"=""817625010006""","Wine Rose 1",1,1699,n,n,"JOEL GOTT ROSE",,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817625010181""","other wine 1",1,1499,n,n,"PALISADES RED WINE 750 ml","=""750""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817673010041""","CIGARS  1",1,1499,n,n,Camacho,"=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817673010676""","CIGARS  1",1,2099,n,n,"My Father","=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817673010737""","CIGARS  1",1,1599,n,n,"My Father","=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817673011383""","CIGARS  1",1,1499,n,n,"My Father","=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817673011628""","CIGARS  1",1,1399,n,n,"My Father","=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817673011789""","CIGARS  1",1,1499,n,n,"My Father","=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817673012021""","CIGARS  1",1,2099,n,n,"My Father","=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817673012106""","CIGARS  1",1,1399,n,n,"Rocky Patel","=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817904000834""",BEER,1,1699,n,n,"Elysian Space Dust IPA Can (19.2 oz)","6 pk",,n,6,1,1075,n,,"=""0""",,,,,,n,,,,,,,
"=""817904000865""",BEER,1,2799,n,n,"ELYSIAN SPACE DUST IPA",,,n,12,1,1760,n,,"=""0""",,,,,,n,,,,,,,
"=""817904005099""",BEER,1,499,n,n,"ELYSIAN JACKTAIL HAZY IPA","19.5 ML",,n,1,1,249,n,,"=""0""",,,,,,n,,,,,,,
"=""817904006829""","IPA BEER 1",1,2699,n,n,"ELYSIAN SPACE DUST IPA 24/12 CAN 2/12",12pk,,n,12,1,1760,n,,"=""0""",,,,,,n,,,,,,,
"=""817904006898""","IPA BEER 1",1,449,n,n,"ELYSIAN SPACE DUST IPA 19.2 OZ","19.2 OZ",,n,1,1,244,n,,"=""0""",,,,,,n,,,,,,,
"=""817904007918""",Beer1osama,1,1499,n,n,"Elysian Brewing Contact Haze IPA Cans (12 oz x 6 ct)",12oz,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""817904009493""","IPA BEER 1",1,469,n,n,"ELYSIAN JUICE DUST JUICY IPA 15/19.2 CAN",19.2oz,,n,1,1,249,n,,"=""0""",,,,,,n,,,,,,,
"=""818051020744""","WINE CABERNET SAUVIGNON 1",1,1999,n,n,"BREAD & BUTTER CAB",,,n,1,1,1000,n,,"=""0""",,,,,,n,,,,,,,
"=""818051021956""","Wine Sav Bl 1",1,1599,n,n,"BREAD & BUTTER SAUV BLANC","750 ML",,n,2,1,850,n,,"=""0""",,,,,0,n,,,,,,,
"=""818094000024""",Drinks1osama,1,299,n,n,"Rockstar Sugar Free Energy Drink (16 oz)","16.00 OZ",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""818094000703""",Drinks1osama,1,299,n,n,"Rockstar Zero Carb Energy Drink Can (16 oz)","16.00 FL OZ",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""818094003087""",Drinks1osama,1,227,n,n,"Rockstar Pure Zero Punch Can (16 oz)","16 Oz",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""818094005319""",Drinks1osama,1,299,n,n,"Rockstar Recovery Fruit Punch Energy Drink Can (16 oz)","16 OZ",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""818094005746""","ROCKSTAR 1",1,319,n,n,"ROCKSTAR FRUIT PUNCH","16 OZ",,n,1,1,121,n,,"=""0""",,,,,,n,,,,,,,
"=""818094005753""","ROCKSTAR 1",1,319,n,n,"ROCKSTAR SUGAR FREE 16OZ","16 OZ",,n,1,1,121,n,,"=""0""",,,,,,n,,,,,,,
"=""818094005760""","ROCKSTAR 1",1,319,n,n,"ROCKSTAR ZERO CARB SUSTAIN 16 OZ","16 OZ",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""818094005777""","ROCKSTAR 1",1,319,n,n,"ROCKSTAR ORIGINAL","16 OZ",y,n,1,1,121,n,,"=""0""",,,,,,n,,,,,,,
"=""818094005784""","ROCKSTAR 1",1,319,n,n,"ROCKSTAR LEMONADE","16 OZ",,n,1,1,121,n,,"=""0""",,,,,,n,,,,,,,
"=""818094005791""","ROCKSTAR 1",1,319,n,n,"ROCKSTAR RECOVERY ORANGENADE","16 OZ",,n,1,1,122,n,,"=""0""",,,,,,n,,,,,,,
"=""818094005807""","ROCKSTAR 1",1,319,n,n,"ROCKSTAR SILVER ICE","16 OZ",,n,1,1,150,n,,"=""0""",,,,,,n,,,,,,,
"=""818094005814""","ROCKSTAR 1",1,319,n,n,"ROCKSTAR PURE ZERO FRUIT PUNCH","16 OZ",,n,1,12,1460,n,,"=""0""",,,,,,n,,,,,,,
"=""818490010580""",BEER,1,1299,n,n,"MONTUCKY  C24 16OZ 6P",,,n,1,1,730,n,,"=""0""",,,,,,n,,,,,,,
"=""818490013734""",BEER,1,399,n,n,"MONTUCKY  C12 24OZ",,,n,1,1,220,n,,"=""0""",,,,,,n,,,,,,,
"=""818558011504""","CIGARS  1",1,1899,n,n,Deadwood,"=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""818578010044""","CIGARS  1",1,1599,n,n,Deadwood,"=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""818578012765""","CIGARS  1",1,1599,n,n,Blackened,"=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""818578013892""","CIGARS  1",1,1699,n,n,"JM Tobacco","=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""818578015339""","CIGARS  1",1,3399,n,n,Oliva,"=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""818578018521""","CIGARS  1",1,1599,n,n,"Casa 1910","=""2""",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
